"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"168",0,0,100,0,0,0,0,100,0,0,1.42963e-12,1.42963e-12,1.02525e-12,28.2856403405077
"169",25,0,75,0,0,25,0,75,0,0,1.8252e-12,1.8252e-12,1.82658e-12,0.075608152531248
"170",44,5,18,28,5,44,5,18,28,5,1.94411e-12,1.94411e-12,1.88588e-12,2.99520088883859
"171",52,0,42,0,6,52,0,42,0,6,1.91966e-12,1.91966e-12,1.87436e-12,2.35979287998915
"172",0,58,31,0,11,0,58,31,0,11,1.16049e-12,1.16049e-12,1.04571e-12,9.89064963937647
"173",43,48,6,0,3,43,48,6,0,3,1.87277e-12,1.87277e-12,1.87279e-12,0.00106793679950368
"175",65,35,0,0,0,65,35,0,0,0,1.76002e-12,1.76002e-12,1.78372e-12,1.34657560709537
"176",7,0,26,34,33,7,0,26,34,33,2.06965e-12,2.06965e-12,2.06984e-12,0.00918029618532934
"177",20,24,31,25,0,20,24,31,25,0,1.89025e-12,1.89025e-12,1.87632e-12,0.736939558259497
"178",21,38,4,21,16,21,38,4,21,16,2.00498e-12,2.00498e-12,2.02515e-12,1.00599507227006
"179",29,18,13,24,16,29,18,13,24,16,2.00728e-12,2.00728e-12,2.00647e-12,0.0403531146626168
"180",0,79,21,0,0,0,79,21,0,0,9.9555e-13,9.9555e-13,9.97491e-13,0.19496760584603
"181",0,0,24,49,27,0,0,24,49,27,2.03279e-12,2.03279e-12,2.06965e-12,1.81327141514864
"182",43,0,0,57,0,43,0,0,57,0,1.92414e-12,1.92414e-12,1.92098e-12,0.164229214090439
"184",17,0,37,29,17,17,0,37,29,17,2.01515e-12,2.01515e-12,2.02375e-12,0.426767238170855
"185",0,29,71,0,0,0,29,71,0,0,1.02205e-12,1.02205e-12,1.82297e-12,78.3640722078176
"187",24,76,0,0,0,24,76,0,0,0,1.76791e-12,1.76791e-12,1.76823e-12,0.0181004689152608
"188",19,11,33,30,7,19,11,33,30,7,1.96183e-12,1.96183e-12,1.99003e-12,1.43743341675886
"189",0,0,24,70,6,0,0,24,70,6,1.85507e-12,1.85507e-12,1.1275e-12,39.2206224023891
"190",4,63,19,14,0,4,63,19,14,0,1.86403e-12,1.86403e-12,1.8773e-12,0.711898413652134
"191",3,32,37,0,28,3,32,37,0,28,2.04293e-12,2.04293e-12,1.27338e-12,37.668936282692
"192",60,12,8,0,20,60,12,8,0,20,2.00934e-12,2.00934e-12,1.97243e-12,1.83692157623897
"193",1,0,0,39,60,1,0,0,39,60,2.11803e-12,2.11803e-12,2.10937e-12,0.408870507027759
"194",0,46,0,33,21,0,46,0,33,21,1.23272e-12,1.23272e-12,2.0026e-12,62.4537607891492
"195",0,53,3,18,26,0,53,3,18,26,1.24438e-12,1.24438e-12,1.24457e-12,0.0152686478406938
"197",0,47,0,53,0,0,47,0,53,0,1.1216e-12,1.1216e-12,1.13225e-12,0.949536376604843
"198",43,0,0,0,57,43,0,0,0,57,2.10919e-12,2.10919e-12,2.10909e-12,0.00474115655773044
"199",0,6,0,2,92,0,6,0,2,92,1.34048e-12,1.34048e-12,1.33612e-12,0.32525662449272
"200",25,19,26,16,14,25,19,26,16,14,1.99304e-12,1.99304e-12,1.98949e-12,0.178119857102732
"201",3,12,6,25,54,3,12,6,25,54,2.10937e-12,2.10937e-12,1.29153e-12,38.7717659775193
"202",33,24,15,2,26,33,24,15,2,26,2.03599e-12,2.03599e-12,2.06914e-12,1.62820053143677
"203",22,12,30,36,0,22,12,30,36,0,1.90635e-12,1.90635e-12,1.90477e-12,0.0828808980512297
