"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"175",65,35,0,0,0,65,35,0,0,0,2.82929e-12,2.82929e-12,3.0761e-12,8.72338996709423
"176",7,0,26,34,33,7,0,26,34,33,4.64664e-12,4.64664e-12,4.64758e-12,0.0202296713324168
"177",20,24,31,25,0,20,24,31,25,0,3.8732e-12,3.8732e-12,3.81566e-12,1.48559330785913
"178",21,38,4,21,16,21,38,4,21,16,4.37067e-12,4.37067e-12,4.27264e-12,2.24290554995001
"179",29,18,13,24,16,29,18,13,24,16,4.38593e-12,4.38593e-12,4.38093e-12,0.11400090744722
"180",0,79,21,0,0,0,79,21,0,0,2.52899e-12,2.52899e-12,2.5463e-12,0.684462967429678
"181",0,0,0,78,22,0,0,0,78,22,4.80231e-12,4.80231e-12,3.94052e-12,17.9453221470501
"182",43,0,0,57,0,43,0,0,57,0,4.06425e-12,4.06425e-12,4.04541e-12,0.463554161284374
"183",0,0,100,0,0,0,0,100,0,0,3.04285e-12,3.04285e-12,2.79042e-12,8.29584107004946
"184",17,0,37,29,17,17,0,37,29,17,4.4273e-12,4.4273e-12,4.49478e-12,1.5241795225081
"185",0,29,71,0,0,0,29,71,0,0,2.76275e-12,2.76275e-12,3.47981e-12,25.9545742466745
"187",24,76,0,0,0,24,76,0,0,0,2.9416e-12,2.9416e-12,2.94647e-12,0.165556159912983
"188",0,0,0,46,54,0,0,0,46,54,5.10324e-12,5.10324e-12,5.0965e-12,0.132072957572049
"189",0,0,24,70,6,0,0,24,70,6,4.06245e-12,4.06245e-12,4.21813e-12,3.83217024209528
"190",4,63,19,14,0,4,63,19,14,0,3.70468e-12,3.70468e-12,2.82455e-12,23.7572475895354
"191",3,32,37,0,28,3,32,37,0,28,4.51321e-12,4.51321e-12,3.94008e-12,12.6989437672964
"192",60,12,8,0,20,60,12,8,0,20,4.35037e-12,4.35037e-12,4.40837e-12,1.33321993301718
"193",1,0,0,39,60,1,0,0,39,60,4.82216e-12,4.82216e-12,5.1522e-12,6.84423577815751
"194",0,46,0,33,21,0,46,0,33,21,3.89441e-12,3.89441e-12,4.46253e-12,14.5880890815297
"195",0,53,3,18,26,0,53,3,18,26,3.93786e-12,3.93786e-12,3.93966e-12,0.0457101065045373
"196",0,0,24,49,27,0,0,24,49,27,4.42969e-12,4.42969e-12,4.64664e-12,4.89763392020661
"197",0,47,0,53,0,0,47,0,53,0,3.37048e-12,3.37048e-12,4.32085e-12,28.1968740357456
"198",43,0,0,0,57,43,0,0,0,57,4.77472e-12,4.77472e-12,4.61688e-12,3.30574358286979
