"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"174",28,13,22,14,23,28,13,22,14,23,4.48076e-12,4.48076e-12,4.2087868991988e-12,6.06979844493345
"175",65,35,0,0,0,65,35,0,0,0,2.82929e-12,2.82929e-12,3.68530029187168e-12,30.2553040470113
"176",7,0,26,34,33,7,0,26,34,33,4.64664e-12,4.64664e-12,4.52747145230163e-12,2.56461760967868
"177",20,24,31,25,0,20,24,31,25,0,3.8732e-12,3.8732e-12,3.66170880863873e-12,5.46037362804065
"178",21,38,4,21,16,21,38,4,21,16,4.37067e-12,4.37067e-12,3.93091064482225e-12,10.0616005138286
"179",29,18,13,24,16,29,18,13,24,16,4.38593e-12,4.38593e-12,4.10279295596229e-12,6.45557599044467
"180",0,79,21,0,0,0,79,21,0,0,2.52899e-12,2.52899e-12,3.07770516752679e-12,21.6970081940532
"181",0,0,0,78,22,0,0,0,78,22,4.80231e-12,4.80231e-12,4.55888927286514e-12,5.06882577623815
"182",43,0,0,57,0,43,0,0,57,0,4.06425e-12,4.06425e-12,4.15518381312962e-12,2.23740697864598
"183",0,0,100,0,0,0,0,100,0,0,3.04285e-12,3.04285e-12,3.48428944713094e-12,14.5074337259787
"184",17,0,37,29,17,17,0,37,29,17,4.4273e-12,4.4273e-12,4.18459887047591e-12,5.48192192812976
"185",0,29,71,0,0,0,29,71,0,0,2.76275e-12,2.76275e-12,3.33503699006106e-12,20.7143965274114
"187",24,76,0,0,0,24,76,0,0,0,2.9416e-12,2.9416e-12,3.23387484445351e-12,9.93591393981208
"188",0,0,0,46,54,0,0,0,46,54,5.10324e-12,5.10324e-12,5.05335400840861e-12,0.977535675206109
"189",0,0,24,70,6,0,0,24,70,6,4.06245e-12,4.06245e-12,4.13533962828187e-12,1.7942283174406
"190",4,63,19,14,0,4,63,19,14,0,3.70468e-12,3.70468e-12,3.28635805680693e-12,11.2917159698833
"191",3,32,37,0,28,3,32,37,0,28,4.51321e-12,4.51321e-12,3.97554843486984e-12,11.9130633214533
"192",60,12,8,0,20,60,12,8,0,20,4.35037e-12,4.35037e-12,4.23032575238368e-12,2.75940316838161
"193",1,0,0,39,60,1,0,0,39,60,4.82216e-12,4.82216e-12,5.14458333343814e-12,6.68628443349335
"194",0,46,0,33,21,0,46,0,33,21,3.89441e-12,3.89441e-12,3.96875052592576e-12,1.90890342634091
"195",0,53,3,18,26,0,53,3,18,26,3.93786e-12,3.93786e-12,3.93651865369483e-12,0.0340628235938722
"196",0,0,24,49,27,0,0,24,49,27,4.42969e-12,4.42969e-12,4.45983211098227e-12,0.68045644237571
"197",0,47,0,53,0,0,47,0,53,0,3.37048e-12,3.37048e-12,3.63176485357419e-12,7.75215558538225
"198",43,0,0,0,57,43,0,0,0,57,4.77472e-12,4.77472e-12,5.03594912331643e-12,5.4710877981627
"199",0,6,0,2,92,0,6,0,2,92,4.38878e-12,4.38878e-12,5.56557174395949e-12,26.8136416944912
