"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"228",0,0,79,21,0,0,0,79,21,0,1.60391e-12,1.60391e-12,1.59796163327234e-12,0.37086661518797
"230",26,4,21,19,30,26,4,21,19,30,2.05711e-12,2.05711e-12,1.97362868536833e-12,4.05818427948298
"231",26,38,15,17,4,26,38,15,17,4,1.92217e-12,1.92217e-12,1.69118150856505e-12,12.0170688042653
"232",22,28,5,44,1,22,28,5,44,1,1.92329e-12,1.92329e-12,1.68726914723347e-12,12.2717246367699
"233",34,3,0,28,35,34,3,0,28,35,2.07281e-12,2.07281e-12,2.07664239776112e-12,0.184889003869948
"234",12,19,12,43,14,12,19,12,43,14,2.00718e-12,2.00718e-12,1.71162623950033e-12,14.7248259000023
"235",35,15,1,37,12,35,15,1,37,12,1.99404e-12,1.99404e-12,1.90937790825861e-12,4.24575694275878
"236",20,80,0,0,0,20,80,0,0,0,1.76823e-12,1.76823e-12,1.44759613969389e-12,18.1330404023294
"237",13,24,20,32,11,13,24,20,32,11,1.98702e-12,1.98702e-12,1.680138913817e-12,15.4442877365603
"238",0,1,0,99,0,0,1,0,99,0,1.14085e-12,1.14085e-12,1.6169172475061e-12,41.7291710133758
"239",12,4,36,40,8,12,4,36,40,8,1.97504e-12,1.97504e-12,1.73536433995774e-12,12.1352306810121
"240",0,13,28,45,14,0,13,28,45,14,1.20943e-12,1.20943e-12,1.63390144917238e-12,35.0968182674798
"241",21,37,0,10,32,21,37,0,10,32,2.05881e-12,2.05881e-12,1.8104514401915e-12,12.0632093203601
"242",9,0,76,0,15,9,0,76,0,15,1.98795e-12,1.98795e-12,1.75382460730934e-12,11.7772274297976
"243",58,0,22,20,0,58,0,22,20,0,1.8784e-12,1.8784e-12,2.08998815214661e-12,11.2642755614676
"244",27,15,22,36,0,27,15,22,36,0,1.90556e-12,1.90556e-12,1.77267551985699e-12,6.97351330543318
"246",0,0,44,56,0,0,0,44,56,0,1.73654e-12,1.73654e-12,1.60822841229937e-12,7.38892209224246
"247",30,7,29,21,13,30,7,29,21,13,1.99126e-12,1.99126e-12,1.89934881814426e-12,4.61572983215367
"248",45,42,0,13,0,45,42,0,13,0,1.85371e-12,1.85371e-12,1.81275252342809e-12,2.20948673589235
"249",34,2,5,30,29,34,2,5,30,29,2.05727e-12,2.05727e-12,2.04690227456582e-12,0.503955505800358
"250",53,0,0,14,33,53,0,0,14,33,2.06311e-12,2.06311e-12,2.23416964452392e-12,8.29134871741775
"251",0,43,57,0,0,0,43,57,0,0,1.01797e-12,1.01797e-12,1.42304221057422e-12,39.7921560138535
"252",46,40,14,0,0,46,40,14,0,0,1.79089e-12,1.79089e-12,1.82527669406887e-12,1.92008967992854
"253",0,46,17,37,0,0,46,17,37,0,1.10636e-12,1.10636e-12,1.42212175418048e-12,28.5405974710292
"254",28,2,5,53,12,28,2,5,53,12,2.00129e-12,2.00129e-12,1.90567364957327e-12,4.77773588169284
"255",19,7,35,27,12,19,7,35,27,12,1.99003e-12,1.99003e-12,1.8020292582687e-12,9.44713103477326
